PROJECT_ID,RISK_ID,DATE_ARCHIVED,COST_MEAN,COST_P80,COST_PROBOPP,COST_PROBLOW,COST_PROBMOD,COST_PROBHIGH,COST_RISKRANKING,SCHEDULE_MEAN,SCHEDULE_P80,SCHEDULE_PROBOPP,SCHEDULE_PROBLOW,SCHEDULE_PROBMOD,SCHEDULE_PROBHIGH,SCHEDULE_RISKRANKING,OUTCOME_MEAN,OUTCOME_P80,OUTCOME_PROBOPP,OUTCOME_PROBLOW,OUTCOME_PROBMOD,OUTCOME_PROBHIGH,OUTCOME_RISKRANKING
4151,4,12-JUL-24 02.31.54.141337000 AM,1,1,NA,1,NA,NA,2,1,1,NA,1,NA,NA,2,1.5000471050559998,2.37791279,NA,0.9666,0.0334,-1.3877787807814449e-17,2
4151,5,12-JUL-24 02.31.54.219366000 AM,1,1,NA,1,NA,NA,2,1,1,NA,1,NA,NA,2,1.9989255759199998,3.17779189,NA,0.751,0.249,NA,2
4151,6,12-JUL-24 02.31.54.294673000 AM,0,0,NA,NA,NA,1,4,0,0,NA,1,NA,NA,2,0.9992766433280008,1.5675408899999999,NA,1,NA,NA,2
4151,7,12-JUL-24 02.31.54.372435000 AM,1,1,NA,1,NA,NA,2,1,1,NA,1,NA,NA,2,4.501203493872,5.40642573,NA,0.0478,0.8726,0.0796,3
4151,8,12-JUL-24 02.31.54.470026000 AM,1,1,NA,1,NA,NA,2,1,1,NA,1,NA,NA,2,4.49928579649598,5.39210329,NA,0.046200000000000005,0.8824000000000001,0.0714,3
4151,9,12-JUL-24 02.31.54.555377000 AM,0,0,NA,0.6,0.4,NA,2,NA,NA,1,NA,NA,NA,1,0.0627615091499999,0.1090556775,NA,1,NA,NA,2
4151,10,12-JUL-24 02.31.54.647551000 AM,1,1,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,1,1.5013916215999998,2.38256451,NA,0.9598000000000001,0.0402,1.3877787807814449e-17,2
4151,11,12-JUL-24 02.31.54.738231000 AM,0,0,NA,1,NA,NA,2,0,0,NA,1,NA,NA,2,0.06273509429,0.1108859325,NA,1,NA,NA,2
4151,12,12-JUL-24 02.31.54.822382000 AM,1,1,NA,1,NA,NA,2,1,1,NA,1,NA,NA,2,7.124638230988,8.542589245,NA,NA,0.26280000000000003,0.7372000000000001,4
4151,13,12-JUL-24 02.31.54.911533000 AM,1,1,NA,NA,NA,1,4,1,1,NA,1,NA,NA,2,6.000113744488,7.17259393,NA,NA,0.5104000000000001,0.48960000000000004,4
4151,14,12-JUL-24 02.31.54.990065000 AM,0,0,NA,1,NA,NA,2,0,0,NA,1,NA,NA,2,0.062255773710000004,0.1079452075,NA,1,NA,NA,2
4151,15,12-JUL-24 02.31.55.431599000 AM,0,0,NA,1,NA,NA,2,0,0,NA,1,NA,NA,2,1.0004569893120001,1.56552981,NA,1,NA,NA,2
4151,17,12-JUL-24 02.31.55.589158000 AM,1636378,2617792,NA,NA,0.0012000000000000001,0.9988,4,74,106,NA,0.16740000000000002,0.3728,0.45980000000000004,4,1.31259563461,1.8683867125,NA,1,NA,NA,2
4153,1,12-JUL-24 02.31.33.388602000 AM,5937500,6125063,NA,NA,NA,1,4,114,118,NA,NA,NA,1,4,2.37551336223601,3.811423515,NA,0.6296,0.3704,-5.551115123125783e-17,2
4153,2,12-JUL-24 02.31.33.452794000 AM,151476,238600,NA,0.0112,0.0134,0.9754,4,29,44,NA,0.28500000000000003,0.368,0.34700000000000014,3,4.501716884464019,5.4055559099999995,NA,0.0526,0.8686,0.0788,3
4153,3,12-JUL-24 02.31.33.514225000 AM,4199,6371,NA,1,NA,NA,2,24,31,NA,0.012,0.39680000000000004,0.5912000000000001,4,NA,NA,NA,NA,NA,NA,NA
4155,1,12-JUL-24 02.31.33.903914000 AM,22400000,25761120,NA,NA,NA,1,4,200,230,NA,NA,0.98,0.02,3,3.0005063414959996,3.65355351,NA,0.5322,0.46780000000000005,NA,3
4155,2,12-JUL-24 02.31.33.969014000 AM,400000,460020,NA,1,NA,NA,2,128,147,NA,0.43760000000000004,0.5624,NA,3,1.0011347610799999,1.56272207,NA,1,NA,NA,2
4155,4,12-JUL-24 02.31.34.119231000 AM,7680000,8256192,NA,NA,NA,1,4,48,52,NA,NA,NA,1,4,5.99832314190398,7.13114311,NA,NA,0.5036,0.4963999999999999,3
4158,1,12-JUL-24 02.30.15.680717000 AM,8750,12501,NA,1,NA,NA,2,16,23,NA,1,NA,NA,2,0.4396899304500005,0.7251471375,NA,1,NA,NA,2
4158,3,12-JUL-24 02.30.15.762083000 AM,500000,575025,NA,NA,NA,1,4,36,41,NA,1,NA,NA,2,0.9986944577039976,1.57371565,NA,1,NA,NA,2
4158,4,12-JUL-24 02.30.15.837405000 AM,180000,198006,NA,0.4,0.6,NA,3,108,119,NA,NA,1,NA,3,4.49797347216799,5.37144955,NA,0.0454,0.882,0.0726,3
4158,7,12-JUL-24 02.30.15.998078000 AM,19000,19600,NA,1,NA,NA,2,272,280,NA,NA,NA,1,4,7.12616941058801,8.572404825,NA,NA,0.2676,0.7323999999999999,4
4158,10,12-JUL-24 02.30.16.156858000 AM,50000,80010,NA,1,NA,NA,2,3,5,NA,1,NA,NA,2,0.18822646904599982,0.2947536475,NA,1,NA,NA,2
4158,11,12-JUL-24 02.30.16.244019000 AM,20000,23001,NA,1,NA,NA,2,48,55,NA,1,NA,NA,2,1.001642289936,1.57209255,NA,1,NA,NA,2
